Isotope,Beta-decay energy (keV),Half life (years),Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
204Tl,763.7453,3.783,0.9708,244.03,119382400.8,0.33506534350040734,0.009314670342862123,1.330517345650892
60Co,2822.8058,5.2714,1.0,95.77,166352732.64,0.3208522268595039,0.29449110107989107,1.6622959819222791
147Pm,224.0638,2.6234,1.0,61.96,82788207.84,0.17024813186030707,0.005781738546493285,0.9644711863989084
3H,18.59202,12.32,1.0,5.69,388789632.0,0.163129728205091,0.10748648627040529,2.511223958105374
106Ru,39.4038,1.0179329226557152,1.0,10.03,32123520.0,0.09849829178059834,9.753334447415022e-05,0.01777402465653474
90Sr,545.9674,28.91,1.0,195.8,912330216.0,0.07973975166904156,0.03379058407006557,3.364187556028255
125Sb,766.7,2.7576,1.0,24.9,87023237.76,0.07654394832568423,0.0002610393519354298,1.0143607362205185
137Cs,1175.6285,30.04,1.0,174.32,947990304.0,0.04488275330923971,0.003661995608914402,3.402529826895934
155Eu,251.9612,4.742,1.0,27.8,149646139.2,0.04007784337275242,5.8015023703658745e-05,1.5564589876432138
154Eu,1967.9913,8.592,0.99982,34.5,271142899.2,0.02762847403685352,4.2247219165106755e-05,2.150831537766509
171Tm,96.5468,1.92,1.0,7.5,60590592.0,0.0242056482106504,1.2655209130264924e-06,0.6523251860396901
39Ar,565.0,268.0,1.0,218.8,8457436800.0,0.02218199677930786,0.0024210432709880067,5.5909869805108565
32Si,227.1872,157.0,1.0,68.8,4954543200.0,0.014510806569143114,0.00044336990601039116,5.056245805348308
134Cs,2058.8368,2.065,1.0,3.55,65166444.0,0.013594282657392296,1.4563484393864941e-07,0.7251302264129961
194Os,96.6,6.0,1.0,3.6,189345600.0,0.0032771952806153566,4.152520487830185e-09,1.791759469228055
63Ni,66.9768,101.2,1.0,17.425,3193629120.0,0.0028960398759698344,7.034255676304604e-07,4.617098756853365
228Ra,45.5402,5.75,1.0,3.21,181456200.0,0.002594508771123933,1.49815332434642e-09,1.749199854809259
85Kr,687.0,10.728,1.0,1.5,338549932.8,0.00174303603217841,1.062338667886926e-09,2.3728571459793772
241Pu,20.7799,14.329,1.0,5.23,452188850.40000004,0.0016048024268775453,1.3618148169607794e-09,2.662285455734466
151Sm,76.6182,94.6,1.0,13.96,2985348960.0,0.0010355476312780255,1.029111878774591e-08,4.549657476057832
210Pb,63.4758,22.2,1.0,4.16,700578720.0,0.0009455267863812786,3.9391389080915965e-10,3.100092288878234
14C,156.4765,5700.0,1.0,49.47,179878320000.0,0.0006568973490387716,1.8620444195088201e-09,8.648221453822641
